,Unnamed: 0,product_ndc,API,searched_API,Dosage_strength,Dosage_form,strength_num,Strength_unit,per_unit,strength_in_mg,unit_in_mg,strength_in_mg_per_1unit,is_tablet
129,168,0904-6749,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
130,169,41250-544,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
131,171,49035-543,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
132,172,49638-105,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, DELAYED RELEASE",500.0,mg,1,500.0,1.0,500.0,True
133,173,55154-7899,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
135,176,61919-484,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
136,177,62011-0339,ACETAMINOPHEN,acetaminophen,160 mg/1,"TABLET, CHEWABLE",160.0,mg,1,160.0,1.0,160.0,True
138,179,63481-629,OXYCODONE HYDROCHLORIDE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
139,181,68084-777,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
141,183,71335-0347,BUTALBITAL,acetaminophen,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
142,184,71930-043,HYDROCODONE BITARTRATE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
143,185,72288-544,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
145,187,67651-0337,BENZHYDROCODONE HYDROCHLORIDE,acetaminophen,4.08 mg/1,TABLET,4.08,mg,1,4.08,1.0,4.08,True
147,190,30142-165,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
148,191,45865-605,HYDROCODONE BITARTRATE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
149,193,49638-106,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, DELAYED RELEASE",500.0,mg,1,500.0,1.0,500.0,True
150,195,55319-655,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
152,199,61919-484,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
153,200,65162-696,HYDROCODONE BITARTRATE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
154,201,68016-546,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
155,202,68998-136,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
156,203,68682-306,BUTALBITAL,acetaminophen,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
157,204,71930-044,HYDROCODONE BITARTRATE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
158,205,73057-376,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
159,207,67651-0338,BENZHYDROCODONE HYDROCHLORIDE,acetaminophen,6.12 mg/1,TABLET,6.12,mg,1,6.12,1.0,6.12,True
162,211,49638-107,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, DELAYED RELEASE",250.0,mg,1,250.0,1.0,250.0,True
163,212,49884-946,TRAMADOL HYDROCHLORIDE,acetaminophen,37.5 mg/1,TABLET,37.5,mg,1,37.5,1.0,37.5,True
166,215,63029-050,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
169,218,68016-547,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
170,219,68998-138,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
171,220,0363-0863,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
172,221,71930-045,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
173,222,0067-8203,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, FILM COATED",250.0,mg,1,250.0,1.0,250.0,True
175,224,41163-494,ACETAMINOPHEN,acetaminophen,160 mg/1,"TABLET, CHEWABLE",160.0,mg,1,160.0,1.0,160.0,True
176,225,41250-548,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
179,229,46122-696,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
181,231,49638-108,ACETAMINOPHEN,acetaminophen,250 mg/1,"TABLET, DELAYED RELEASE",250.0,mg,1,250.0,1.0,250.0,True
183,233,50844-467,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
184,234,53002-5340,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
188,239,57243-560,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
189,241,68016-548,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
190,242,68998-139,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
193,245,69842-876,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
194,246,70518-2989,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
195,247,71930-046,OXYCODONE HYDROCHLORIDE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
196,248,67651-0339,BENZHYDROCODONE HYDROCHLORIDE,acetaminophen,8.16 mg/1,TABLET,8.16,mg,1,8.16,1.0,8.16,True
198,250,11822-6019,ACETAMINOPHEN,acetaminophen,650 mg/1,TABLET,650.0,mg,1,650.0,1.0,650.0,True
199,251,41163-500,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
201,254,49035-548,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
202,255,49638-109,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, DELAYED RELEASE",500.0,mg,1,500.0,1.0,500.0,True
203,256,50844-470,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
206,260,57243-616,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
207,262,61919-208,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
208,263,63187-815,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
209,264,65841-758,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
211,266,63941-527,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
212,267,68071-4339,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
214,269,68016-549,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
215,270,70000-0138,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
216,272,71930-047,OXYCODONE HYDROCHLORIDE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
218,275,0924-0128,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
219,276,55132-014,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
220,277,21130-540,ACETAMINOPHEN,acetaminophen,160 mg/1,"TABLET, CHEWABLE",160.0,mg,1,160.0,1.0,160.0,True
221,279,49638-110,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, DELAYED RELEASE",500.0,mg,1,500.0,1.0,500.0,True
224,283,68210-1000,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
225,284,71335-1742,TRAMADOL HYDROCHLORIDE,acetaminophen,37.5 mg/1,"TABLET, FILM COATED",37.5,mg,1,37.5,1.0,37.5,True
226,285,55132-019,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
227,286,41163-503,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
228,288,0113-2476,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
229,289,36800-437,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
230,290,49348-140,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
231,291,49638-111,ACETAMINOPHEN,acetaminophen,1000 mg/1,"TABLET, DELAYED RELEASE",1000.0,mg,1,1000.0,1.0,1000.0,True
232,292,53943-323,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
236,296,0363-0461,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
238,298,69197-029,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
239,299,69732-001,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
240,300,0904-7094,OXYCODONE HYDROCHLORIDE,acetaminophen,7.5 mg/1,TABLET,7.5,mg,1,7.5,1.0,7.5,True
241,301,21130-556,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
242,302,41250-195,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
243,303,37012-484,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
244,305,49035-556,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
245,306,49638-112,ACETAMINOPHEN,acetaminophen,1000 mg/1,"TABLET, DELAYED RELEASE",1000.0,mg,1,1000.0,1.0,1000.0,True
246,307,50844-519,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
247,308,55319-679,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, FILM COATED",500.0,mg,1,500.0,1.0,500.0,True
249,310,68071-4668,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
250,311,0363-0503,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
251,312,67046-903,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
253,314,67296-1392,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
255,317,69732-002,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
256,318,69842-586,ACETAMINOPHEN,acetaminophen,250 mg/1,TABLET,250.0,mg,1,250.0,1.0,250.0,True
257,319,70518-2995,BUTALBITAL,acetaminophen,50 mg/1,"TABLET, COATED",50.0,mg,1,50.0,1.0,50.0,True
258,320,71335-1492,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
262,327,63629-2140,BUTALBITAL,acetaminophen,50 mg/1,TABLET,50.0,mg,1,50.0,1.0,50.0,True
263,328,63940-104,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
264,329,68071-5169,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
265,330,67046-908,ACETAMINOPHEN,acetaminophen,300 mg/1,TABLET,300.0,mg,1,300.0,1.0,300.0,True
267,332,68071-2201,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
268,333,68998-163,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
270,335,69732-003,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
271,338,0527-1671,OXYCODONE HYDROCHLORIDE,acetaminophen,10 mg/1,TABLET,10.0,mg,1,10.0,1.0,10.0,True
272,339,21130-560,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
273,340,41163-512,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, COATED",325.0,mg,1,325.0,1.0,325.0,True
274,341,30142-700,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
275,342,46122-232,ACETAMINOPHEN,acetaminophen,325 mg/1,"TABLET, FILM COATED",325.0,mg,1,325.0,1.0,325.0,True
276,343,47781-196,OXYCODONE HYDROCHLORIDE,acetaminophen,5 mg/1,TABLET,5.0,mg,1,5.0,1.0,5.0,True
277,344,49035-558,ACETAMINOPHEN,acetaminophen,325 mg/1,TABLET,325.0,mg,1,325.0,1.0,325.0,True
280,347,59726-447,ACETAMINOPHEN,acetaminophen,500 mg/1,TABLET,500.0,mg,1,500.0,1.0,500.0,True
282,351,68998-170,ACETAMINOPHEN,acetaminophen,500 mg/1,"TABLET, COATED",500.0,mg,1,500.0,1.0,500.0,True
284,353,69732-005,DIPHENHYDRAMINE HYDROCHLORIDE,acetaminophen,25 mg/1,TABLET,25.0,mg,1,25.0,1.0,25.0,True
285,354,69842-297,ACETAMINOPHEN,acetaminophen,650 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",650.0,mg,1,650.0,1.0,650.0,True
